date,pnl_usd,balance,ret_pct
2025-10-01,40.93,1040.93,4.0934
2025-10-02,51.78,1092.71,4.9741
2025-10-03,29.89,1122.61,2.7358
2025-10-06,-35.06,1087.55,-3.1229
2025-10-07,-2.43,1085.11,-0.2238
2025-10-08,17.36,1102.47,1.5994
2025-10-09,-12.37,1090.1,-1.122
2025-10-10,75.38,1165.47,6.9146
2025-10-13,-0.61,1164.87,-0.0522
2025-10-14,-4.93,1159.93,-0.4235
2025-10-15,26.48,1186.41,2.2828
2025-10-16,21.52,1207.94,1.8143
2025-10-17,19.46,1227.4,1.611
2025-10-20,68.69,1296.08,5.5963
2025-10-21,-24.16,1271.93,-1.864
2025-10-22,7.01,1278.94,0.5513
2025-10-23,-13.78,1265.16,-1.0771
2025-10-24,53.19,1318.35,4.2042
2025-10-27,16.11,1334.46,1.2221
2025-10-28,18.02,1352.49,1.3507
2025-10-29,2.69,1355.18,0.199
2025-10-30,1.14,1356.32,0.0844
2025-10-31,14.91,1371.23,1.0993
2025-11-03,-9.14,1362.1,-0.6662
2025-11-04,21.03,1383.13,1.5441
2025-11-05,-20.1,1363.03,-1.4533
2025-11-06,-46.75,1316.28,-3.4301
2025-11-07,-28.23,1288.05,-2.1447
2025-11-10,11.42,1299.46,0.8865
2025-11-11,32.92,1332.38,2.5331
2025-11-12,19.57,1351.95,1.4686
2025-11-13,-5.9,1346.05,-0.4363
2025-11-14,10.11,1356.16,0.7513
2025-11-17,97.0,1453.16,7.1523
2025-11-18,-4.54,1448.62,-0.3124
2025-11-19,-22.55,1426.07,-1.5565
2025-11-20,-36.52,1389.55,-2.5611
2025-11-21,-68.01,1321.54,-4.8946
2025-11-24,22.68,1344.22,1.7164
2025-11-25,38.29,1382.51,2.8485
2025-11-26,-14.31,1368.2,-1.035
2025-11-27,-21.06,1347.15,-1.539
2025-11-28,3.78,1350.93,0.2809
2025-12-01,2.59,1353.52,0.1919
2025-12-02,4.13,1357.66,0.3055
2025-12-03,46.08,1403.73,3.3939
2025-12-04,-26.0,1377.73,-1.8523
2025-12-05,-12.32,1365.41,-0.8944
2025-12-08,3.02,1368.43,0.2212
2025-12-09,-12.25,1356.18,-0.8949
2025-12-10,3.87,1360.05,0.2851
2025-12-11,8.76,1368.81,0.6444
2025-12-12,-28.84,1339.98,-2.1069
2025-12-15,18.13,1358.1,1.3529
2025-12-16,-34.37,1323.74,-2.5305
2025-12-17,-27.05,1296.69,-2.0434
2025-12-18,-2.03,1294.65,-0.1568
2025-12-19,31.4,1326.05,2.4254
2025-12-22,34.62,1360.67,2.6108
2025-12-23,4.44,1365.12,0.3266
2025-12-24,18.39,1383.51,1.3474
2025-12-26,-3.52,1379.99,-0.2544
2025-12-29,-5.38,1374.61,-0.3898
2025-12-30,-5.93,1368.69,-0.4313
2025-12-31,57.55,1426.23,4.2047
2026-01-02,13.2,1439.43,0.9255
2026-01-05,-26.42,1413.02,-1.8354
2026-01-06,63.51,1476.52,4.4943
2026-01-07,1.08,1477.6,0.0732
2026-01-08,-6.71,1470.89,-0.4542
2026-01-09,38.12,1509.01,2.5915
2026-01-12,22.64,1531.65,1.5004
2026-01-13,-31.4,1500.25,-2.0498
2026-01-14,24.87,1525.13,1.6579
2026-01-15,-3.33,1521.8,-0.2181
2026-01-16,-3.14,1518.66,-0.2067
2026-01-19,-12.33,1506.32,-0.8121
2026-01-20,-5.16,1501.16,-0.3429
2026-01-21,57.99,1559.14,3.8627
2026-01-22,22.48,1581.63,1.4421
2026-01-23,20.88,1602.51,1.3203
2026-01-26,-24.05,1578.46,-1.5009
2026-01-27,3.52,1581.98,0.2233
2026-01-28,-15.85,1566.13,-1.0022
2026-01-29,-26.72,1539.41,-1.706
2026-01-30,-8.3,1531.12,-0.5389
2026-02-02,48.81,1579.93,3.1882
2026-02-03,29.66,1609.59,1.8772
2026-02-04,61.42,1671.01,3.8158
2026-02-05,15.24,1686.24,0.9118
2026-02-06,58.68,1744.93,3.4802
2026-02-09,56.76,1801.69,3.253
2026-02-10,-14.63,1787.06,-0.8119
2026-02-11,-9.65,1777.42,-0.5397
2026-02-12,42.13,1819.54,2.37
2026-02-13,-1.78,1817.77,-0.0976
2026-02-16,35.42,1853.19,1.9487
2026-02-17,-11.74,1841.45,-0.6336
2026-02-18,50.43,1891.87,2.7384
2026-02-19,33.44,1925.31,1.7675
2026-02-20,15.16,1940.47,0.7872
2026-02-23,-40.73,1899.74,-2.0989
2026-02-24,31.82,1931.56,1.6749
2026-02-25,51.0,1982.56,2.6405
2026-02-26,54.8,2037.36,2.7642
2026-02-27,2.64,2040.0,0.1294
2026-03-02,7.34,2047.34,0.36
2026-03-03,33.5,2080.84,1.636
2026-03-04,32.27,2113.1,1.5507
2026-03-05,-53.96,2059.15,-2.5534
2026-03-06,10.65,2069.79,0.517
2026-03-09,-35.0,2034.79,-1.6911
2026-03-10,40.96,2075.75,2.0128
2026-03-11,-35.58,2040.17,-1.7142
2026-03-12,49.86,2090.02,2.4438
2026-03-13,64.91,2154.93,3.1058
2026-03-16,45.37,2200.3,2.1052
2026-03-17,43.73,2244.03,1.9874
2026-03-18,19.26,2263.28,0.8581
2026-03-19,-3.14,2260.14,-0.1387
2026-03-20,18.33,2278.47,0.8109
2026-03-23,76.91,2355.38,3.3754
2026-03-24,-42.45,2312.93,-1.8023
2026-03-25,4.05,2316.97,0.1749
2026-03-26,-10.24,2306.73,-0.4422
