symbol,direction,open_time,close_time,status,open_price,close_price,sl,tp,lot,sl_pips,risk_usd,risk_pct,pnl_pips,pnl_usd
GER40,SELL,2025-10-01 08:08:00+00:00,2025-10-01 09:46:00+00:00,sl,23892.08,23837.38,23837.38,23801.78833,0.1,361.2,3.61,0.361,531.0,5.47
UKOUSD,SELL,2025-10-01 09:04:00+00:00,2025-10-01 10:07:00+00:00,sl,66.6945,66.9,66.9,66.33488,0.01,20.5,1.77,0.177,-23.85,-1.77
CADJPY,SELL,2025-10-01 10:00:00+00:00,2025-10-01 10:32:00+00:00,sl,105.798,105.7885,105.7885,105.41256,0.02,19.3,2.08,0.207,-0.65,0.1
GBPAUD,BUY,2025-10-01 10:04:00+00:00,2025-10-01 11:17:00+00:00,sl,2.03726,2.03548,2.03548,2.04216,0.02,17.8,2.2,0.218,-19.61,-2.2
GER40,SELL,2025-10-01 10:08:00+00:00,2025-10-01 11:33:00+00:00,sl,23800.88,23867.79667,23867.79667,23633.58833,0.1,669.2,6.69,0.667,-685.17,-6.69
UKOUSD,SELL,2025-10-01 11:17:00+00:00,2025-10-01 11:33:00+00:00,sl,67.0645,66.6945,66.6945,66.256,0.01,46.2,3.97,0.397,33.7,3.18
UKOUSD,SELL,2025-10-01 11:36:00+00:00,2025-10-01 12:22:00+00:00,sl,66.6145,66.0745,66.0745,65.50412,0.01,63.4,5.46,0.547,50.7,4.65
GER40,BUY,2025-10-01 12:00:00+00:00,2025-10-01 16:31:00+00:00,sl,23884.68,24056.58,24056.58,24157.57167,0.1,1091.6,10.92,1.094,1703.0,17.19
CADJPY,SELL,2025-10-01 12:09:00+00:00,2025-10-01 15:26:00+00:00,sl,105.695,105.453,105.453,105.28498,0.02,20.5,2.21,0.222,22.6,2.61
EURUSD,SELL,2025-10-01 12:59:00+00:00,2025-10-01 14:16:00+00:00,sl,1.17331,1.17331,1.17331,1.16847,0.01,16.1,1.39,0.138,-1.3,-0.0
UKOUSD,SELL,2025-10-01 13:14:00+00:00,2025-10-01 16:31:00+00:00,sl,66.4245,65.6345,65.6345,64.94925,0.01,84.3,7.25,0.723,75.7,6.8
GBPUSD,BUY,2025-10-01 13:32:00+00:00,2025-10-01 15:07:00+00:00,sl,1.34635,1.34738,1.34738,1.35088,0.01,16.5,1.42,0.141,8.65,0.88
SP500,BUY,2025-10-01 14:53:00+00:00,2025-10-01 15:16:00+00:00,sl,6668.01,6659.30433,6659.30433,6689.77417,0.30000000000000004,87.1,2.25,0.224,-90.66,-2.25
CADJPY,SELL,2025-10-01 15:30:00+00:00,2025-10-01 17:00:00+00:00,sl,105.4465,105.3945,105.3945,105.0441,0.02,20.1,2.17,0.216,3.6,0.56
DJ30,BUY,2025-10-01 15:45:00+00:00,2025-10-01 16:40:00+00:00,sl,46327.11,46462.71,46462.71,46594.99702,0.1,974.1,8.38,0.834,1345.0,11.66
NAS100,BUY,2025-10-01 16:31:00+00:00,2025-10-01 16:49:00+00:00,sl,24613.69,24549.01904,24549.01904,24759.19965,0.1,646.7,6.47,0.629,-654.71,-6.47
GER40,BUY,2025-10-01 16:35:00+00:00,2025-10-01 18:29:00+00:00,sl,24060.68,24184.58,24184.58,24265.46333,0.1,819.1,8.19,0.797,1223.0,12.39
XAUUSD,BUY,2025-10-01 17:15:00+00:00,2025-10-02 17:37:00+00:00,sl,3872.295,3847.84091,3847.84091,3939.54375,0.01,244.5,21.04,2.035,-246.84,-21.04
CADJPY,SELL,2025-10-01 17:20:00+00:00,2025-10-01 17:47:00+00:00,sl,105.5075,105.4245,105.4245,105.01665,0.01,24.5,1.33,0.128,6.7,0.45
NAS100,BUY,2025-10-01 17:32:00+00:00,2025-10-01 20:06:00+00:00,sl,24693.19,24781.79,24781.79,24902.46482,0.1,930.1,9.3,0.9,878.0,8.86
SP500,BUY,2025-10-01 17:37:00+00:00,2025-10-01 21:01:00+00:00,sl,6690.16,6715.35,6715.35,6730.83583,0.1,162.7,1.4,0.135,248.3,2.17
UKOUSD,SELL,2025-10-01 18:30:00+00:00,2025-10-02 17:35:00+00:00,sl,66.0145,65.1765,65.1765,64.29775,0.01,98.1,8.44,0.806,80.5,7.21
NAS100,BUY,2025-10-01 20:11:00+00:00,2025-10-02 03:46:00+00:00,sl,24786.19,24868.94,24868.94,24992.07741,0.1,915.1,9.15,0.867,819.5,8.28
GER40,BUY,2025-10-02 08:05:00+00:00,2025-10-02 11:16:00+00:00,sl,24285.98,24357.88,24357.88,24404.45917,0.1,473.9,4.74,0.445,703.0,7.19
GER40,BUY,2025-10-02 11:18:00+00:00,2025-10-02 16:32:00+00:00,sl,24356.98,24520.58,24520.58,24621.89667,0.1,1059.7,10.6,0.988,1620.0,16.36
GBPUSD,SELL,2025-10-02 13:32:00+00:00,2025-10-02 16:38:00+00:00,tp,1.34881,1.34465,1.34639,1.34465,0.02,15.1,2.6,0.242,39.98,7.15
NAS100,BUY,2025-10-02 14:27:00+00:00,2025-10-02 16:01:00+00:00,sl,24947.06,24989.41,24989.41,25033.19695,0.1,382.8,3.83,0.357,415.5,4.24
USDJPY,BUY,2025-10-02 16:07:00+00:00,2025-10-03 04:35:00+00:00,sl,147.1335,147.639,147.639,148.01451,0.01,29.4,1.59,0.147,48.65,2.73
NZDUSD,SELL,2025-10-02 16:32:00+00:00,2025-10-02 17:55:00+00:00,tp,0.5823,0.58068,0.5823,0.58068,0.05,5.4,2.32,0.212,14.77,6.96
GER40,BUY,2025-10-02 16:41:00+00:00,2025-10-02 17:13:00+00:00,sl,24501.68,24421.93,24421.93,24701.055,0.1,797.5,7.98,0.724,-813.5,-7.98
GBPUSD,SELL,2025-10-02 17:28:00+00:00,2025-10-02 18:56:00+00:00,sl,1.34224,1.34159,1.34159,1.33675,0.01,20.0,1.72,0.157,4.9,0.56
UKOUSD,SELL,2025-10-02 18:02:00+00:00,2025-10-06 01:04:00+00:00,sl,65.0565,65.8125,65.8125,63.7335,0.01,75.6,6.5,0.599,-78.9,-6.5
NZDUSD,SELL,2025-10-02 18:03:00+00:00,2025-10-02 19:06:00+00:00,sl,0.58072,0.58132,0.58132,0.57895,0.05,5.9,2.55,0.234,-7.32,-2.55
NAS100,BUY,2025-10-02 18:45:00+00:00,2025-10-02 21:58:00+00:00,sl,24849.81,24928.66,24928.66,25043.91965,0.1,862.7,8.63,0.794,780.5,7.89
GBPUSD,SELL,2025-10-02 19:14:00+00:00,2025-10-02 22:07:00+00:00,sl,1.34302,1.34509,1.34509,1.33734,0.01,20.7,1.78,0.164,-22.27,-1.78
Nikkei225,BUY,2025-10-03 02:38:00+00:00,2025-10-03 03:02:00+00:00,sl,45015.0,45171.3,45171.3,45254.11875,6.0,797.1,2.39,0.219,1433.0,4.69
Nikkei225,BUY,2025-10-03 03:03:00+00:00,2025-10-03 03:36:00+00:00,sl,45190.0,45416.3,45416.3,45525.30625,4.0,1117.7,2.24,0.204,2133.0,4.53
Nikkei225,BUY,2025-10-03 03:45:00+00:00,2025-10-03 04:17:00+00:00,sl,45450.0,45741.3,45741.3,45932.11875,3.0,1607.1,2.41,0.219,2783.0,4.37
Nikkei225,BUY,2025-10-03 04:30:00+00:00,2025-10-03 10:11:00+00:00,sl,45630.0,46008.8,46008.8,46235.30625,2.0,2017.7,2.02,0.183,3658.0,3.79
