date,pnl_usd,balance,ret_pct
2026-01-02,59.95,10059.95,0.5995
2026-01-05,215.46,10275.41,2.1418
2026-01-06,156.2,10431.61,1.5201
2026-01-07,114.47,10546.08,1.0973
2026-01-08,-46.59,10499.48,-0.4418
2026-01-09,138.29,10637.78,1.3171
2026-01-12,102.0,10739.78,0.9589
2026-01-13,-19.95,10719.83,-0.1857
2026-01-14,-15.42,10704.41,-0.1439
2026-01-15,48.07,10752.48,0.4491
2026-01-16,-32.47,10720.01,-0.3019
2026-01-19,18.52,10738.53,0.1727
2026-01-20,73.56,10812.09,0.685
2026-01-21,53.43,10865.52,0.4942
2026-01-22,105.0,10970.52,0.9664
2026-01-23,131.16,11101.68,1.1955
2026-01-26,38.41,11140.09,0.346
2026-01-27,-40.65,11099.44,-0.3649
2026-01-28,-24.08,11075.36,-0.2169
2026-01-29,-173.15,10902.21,-1.5634
2026-01-30,-74.74,10827.47,-0.6856
2026-02-02,249.68,11077.14,2.306
2026-02-03,50.21,11127.35,0.4533
2026-02-04,225.11,11352.47,2.0231
2026-02-05,133.68,11486.15,1.1775
2026-02-06,226.12,11712.27,1.9687
2026-02-09,407.53,12119.8,3.4795
2026-02-10,-152.39,11967.41,-1.2574
2026-02-11,26.67,11994.08,0.2229
2026-02-12,153.32,12147.4,1.2783
2026-02-13,-30.85,12116.55,-0.2539
2026-02-16,162.06,12278.61,1.3375
2026-02-17,58.89,12337.5,0.4796
2026-02-18,204.24,12541.74,1.6555
2026-02-19,332.82,12874.57,2.6537
2026-02-20,-35.21,12839.36,-0.2735
2026-02-23,14.49,12853.85,0.1129
2026-02-24,181.12,13034.98,1.4091
2026-02-25,208.64,13243.61,1.6006
2026-02-26,105.97,13349.58,0.8002
2026-02-27,-55.09,13294.49,-0.4127
2026-03-02,-75.75,13218.74,-0.5698
2026-03-03,174.07,13392.81,1.3169
2026-03-04,-3.94,13388.87,-0.0294
2026-03-05,-63.5,13325.37,-0.4743
2026-03-06,-86.6,13238.77,-0.6499
2026-03-09,-105.93,13132.84,-0.8001
2026-03-10,104.93,13237.78,0.799
2026-03-11,-154.51,13083.26,-1.1672
2026-03-12,353.15,13436.41,2.6992
2026-03-13,338.89,13775.29,2.5221
2026-03-16,257.89,14033.18,1.8721
2026-03-17,193.68,14226.86,1.3801
2026-03-18,149.04,14375.9,1.0476
2026-03-19,95.55,14471.46,0.6647
2026-03-20,-2.85,14468.61,-0.0197
2026-03-23,322.29,14790.89,2.2275
2026-03-24,-160.51,14630.38,-1.0852
2026-03-25,27.7,14658.09,0.1894
2026-03-26,232.7,14890.79,1.5875
2026-03-27,313.85,15204.64,2.1077
2026-03-30,511.91,15716.55,3.3668
2026-03-31,-67.17,15649.38,-0.4274
2026-04-01,134.77,15784.15,0.8612
2026-04-02,-267.21,15516.94,-1.6929
2026-04-03,292.36,15809.3,1.8841
2026-04-06,-61.48,15747.82,-0.3889
2026-04-07,-193.51,15554.31,-1.2288
2026-04-08,77.08,15631.39,0.4955
2026-04-09,343.95,15975.34,2.2004
2026-04-10,-172.09,15803.24,-1.0772
2026-04-13,255.76,16059.01,1.6184
2026-04-14,186.34,16245.34,1.1603
2026-04-15,232.33,16477.67,1.4301
2026-04-16,46.06,16523.73,0.2795
2026-04-17,-37.11,16486.63,-0.2246
2026-04-20,-83.86,16402.77,-0.5086
2026-04-21,22.57,16425.34,0.1376
2026-04-22,-11.04,16414.31,-0.0672
2026-04-23,185.36,16599.67,1.1293
2026-04-24,39.41,16639.08,0.2374
2026-04-27,71.02,16710.1,0.4268
2026-04-28,-199.12,16510.98,-1.1916
2026-04-29,344.14,16855.12,2.0843
2026-04-30,154.24,17009.36,0.9151
2026-05-01,211.16,17220.52,1.2414
2026-05-04,81.54,17302.05,0.4735
2026-05-05,9.06,17311.12,0.0524
2026-05-06,337.78,17648.9,1.9512
2026-05-07,28.8,17677.7,0.1632
2026-05-08,-47.92,17629.78,-0.2711
2026-05-11,-139.84,17489.93,-0.7932
2026-05-12,75.86,17565.79,0.4337
2026-05-13,221.11,17786.91,1.2588
2026-05-14,129.13,17916.03,0.726
2026-05-15,115.38,18031.41,0.644
2026-05-18,297.46,18328.88,1.6497
2026-05-19,323.89,18652.76,1.7671
2026-05-20,351.93,19004.69,1.8867
2026-05-21,-318.63,18686.06,-1.6766
2026-05-22,8.4,18694.46,0.045
2026-05-25,161.26,18855.72,0.8626
2026-05-26,81.13,18936.85,0.4303
2026-05-27,-70.73,18866.13,-0.3735
2026-05-28,-101.52,18764.61,-0.5381
2026-05-29,28.31,18792.92,0.1509
2026-06-01,398.29,19191.21,2.1194
2026-06-02,-235.66,18955.55,-1.228
2026-06-03,161.45,19117.0,0.8517
2026-06-04,-92.29,19024.71,-0.4828
2026-06-05,394.91,19419.62,2.0758
2026-06-08,-153.63,19265.99,-0.7911
2026-06-09,328.93,19594.92,1.7073
2026-06-10,0.08,19595.0,0.0004
2026-06-11,302.07,19897.07,1.5416
2026-06-12,-38.73,19858.34,-0.1947
2026-06-15,107.74,19966.08,0.5426
2026-06-16,-240.28,19725.8,-1.2034
2026-06-17,498.57,20224.37,2.5275
2026-06-18,635.42,20859.79,3.1418
2026-06-19,-308.36,20551.42,-1.4783
2026-06-22,-51.27,20500.16,-0.2495
2026-06-23,622.65,21122.8,3.0373
2026-06-24,-73.88,21048.93,-0.3498
2026-06-25,371.69,21420.62,1.7659
2026-06-26,135.4,21556.02,0.6321
2026-06-29,-100.81,21455.21,-0.4677
