date,pnl_usd,balance,ret_pct
2025-10-01,40.93,1040.93,4.0934
2025-10-02,30.72,1071.65,2.9511
2025-10-03,51.31,1122.96,4.7875
2025-10-06,-35.06,1087.9,-3.1219
2025-10-07,-0.57,1087.33,-0.0528
2025-10-08,53.47,1140.8,4.9175
2025-10-09,-18.06,1122.74,-1.5827
2025-10-10,78.13,1200.87,6.9587
2025-10-13,-16.06,1184.81,-1.3374
2025-10-14,-27.38,1157.43,-2.3106
2025-10-15,59.98,1217.41,5.1819
2025-10-16,111.53,1328.94,9.161
2025-10-17,-23.5,1305.43,-1.7685
2025-10-20,82.75,1388.19,6.3392
2025-10-21,-28.07,1360.12,-2.0221
2025-10-22,6.6,1366.72,0.4854
2025-10-23,-14.5,1352.21,-1.0613
2025-10-24,52.92,1405.13,3.9135
2025-10-27,-40.34,1364.79,-2.8711
2025-10-28,17.91,1382.7,1.3122
2025-10-29,-24.9,1357.8,-1.8007
2025-10-30,-23.72,1334.08,-1.7467
2025-10-31,-15.21,1318.87,-1.1402
2025-11-03,-9.93,1308.95,-0.7528
2025-11-04,-43.94,1265.0,-3.3571
2025-11-05,-25.41,1239.59,-2.0086
2025-11-06,6.97,1246.56,0.5622
2025-11-07,-11.82,1234.75,-0.948
2025-11-10,51.06,1285.81,4.1353
2025-11-11,32.92,1318.72,2.56
2025-11-12,55.93,1374.65,4.241
2025-11-13,-32.54,1342.11,-2.3671
2025-11-14,11.96,1354.07,0.8911
2025-11-17,94.14,1448.21,6.9523
2025-11-18,-4.54,1443.67,-0.3135
2025-11-19,15.43,1459.1,1.0689
2025-11-20,-22.77,1436.34,-1.5603
2025-11-21,-44.5,1391.83,-3.0984
2025-11-24,-27.99,1363.84,-2.011
2025-11-25,46.84,1410.68,3.4346
2025-11-26,23.22,1433.91,1.6461
2025-11-27,-21.51,1412.39,-1.5004
2025-11-28,59.15,1471.54,4.188
2025-12-01,-14.21,1457.34,-0.9653
2025-12-02,-11.36,1445.98,-0.7793
2025-12-03,34.44,1480.42,2.3816
2025-12-04,-26.17,1454.24,-1.7681
2025-12-05,10.95,1465.19,0.7531
2025-12-08,3.19,1468.38,0.2177
2025-12-09,-15.21,1453.17,-1.0361
2025-12-10,-29.78,1423.39,-2.049
2025-12-11,3.03,1426.43,0.2131
2025-12-12,-65.62,1360.81,-4.6
2025-12-15,-11.59,1349.23,-0.8514
2025-12-16,-20.51,1328.71,-1.5203
2025-12-17,-29.67,1299.04,-2.2333
2025-12-18,11.42,1310.45,0.8788
2025-12-19,31.82,1342.27,2.4281
2025-12-22,27.1,1369.38,2.0191
2025-12-23,-6.99,1362.38,-0.5107
2025-12-24,18.29,1380.68,1.3428
2025-12-26,53.85,1434.53,3.9001
2025-12-29,-6.09,1428.43,-0.4247
2025-12-30,-5.85,1422.58,-0.4098
2025-12-31,60.26,1482.84,4.2362
2026-01-02,-25.45,1457.39,-1.7162
2026-01-05,-14.86,1442.53,-1.0197
2026-01-06,55.84,1498.37,3.8708
2026-01-07,15.43,1513.8,1.0299
2026-01-08,-31.57,1482.23,-2.0856
2026-01-09,12.31,1494.54,0.8304
2026-01-12,16.76,1511.3,1.1215
2026-01-13,-37.41,1473.89,-2.4751
2026-01-14,-10.14,1463.76,-0.6877
2026-01-15,-19.32,1444.44,-1.3199
2026-01-16,-23.56,1420.87,-1.6313
2026-01-19,13.67,1434.55,0.9624
2026-01-20,53.09,1487.63,3.7005
2026-01-21,-16.49,1471.15,-1.1083
2026-01-22,64.71,1535.85,4.3984
2026-01-23,62.63,1598.48,4.0778
2026-01-26,-30.59,1567.9,-1.9134
2026-01-27,-41.17,1526.73,-2.6255
2026-01-28,-18.42,1508.31,-1.2063
2026-01-29,-52.56,1455.75,-3.4848
2026-01-30,-15.5,1440.25,-1.0647
2026-02-02,49.75,1490.0,3.4543
2026-02-03,31.29,1521.29,2.1
2026-02-04,-21.69,1499.6,-1.4259
2026-02-05,-97.1,1402.5,-6.4752
2026-02-06,-34.91,1367.59,-2.4888
2026-02-09,75.69,1443.28,5.5345
2026-02-10,-45.19,1398.09,-3.1313
2026-02-11,-10.71,1387.38,-0.7659
2026-02-12,11.44,1398.82,0.8246
2026-02-13,1.32,1400.14,0.0944
2026-02-16,-35.93,1364.22,-2.5659
2026-02-17,-28.91,1335.31,-2.1191
2026-02-18,28.0,1363.3,2.0967
2026-02-19,67.04,1430.34,4.9175
2026-02-20,64.87,1495.21,4.5351
2026-02-23,6.13,1501.34,0.4097
2026-02-24,-40.57,1460.77,-2.7024
2026-02-25,30.29,1491.06,2.0735
2026-02-26,-31.27,1459.78,-2.0973
2026-02-27,-6.83,1452.96,-0.4677
2026-03-02,11.23,1464.19,0.773
2026-03-03,25.5,1489.69,1.7414
2026-03-04,30.39,1520.08,2.0403
2026-03-05,-30.46,1489.62,-2.004
2026-03-06,6.97,1496.59,0.468
2026-03-09,-69.14,1427.45,-4.62
2026-03-10,36.71,1464.16,2.5718
2026-03-11,-40.83,1423.33,-2.7888
2026-03-12,5.08,1428.41,0.3572
2026-03-13,18.62,1447.03,1.3034
2026-03-16,-34.22,1412.8,-2.3651
2026-03-17,39.47,1452.28,2.794
2026-03-18,15.48,1467.75,1.0657
2026-03-19,10.71,1478.47,0.7299
2026-03-20,-72.2,1406.27,-4.8835
2026-03-23,35.98,1442.24,2.5584
2026-03-24,-40.85,1401.39,-2.8326
2026-03-25,-46.1,1355.29,-3.2898
2026-03-26,-96.69,1258.6,-7.1341
2026-03-27,43.06,1301.66,3.4213
2026-03-30,-64.97,1236.69,-4.9914
2026-03-31,62.4,1299.09,5.0456
2026-04-01,13.24,1312.33,1.0194
2026-04-02,-79.45,1232.88,-6.0541
2026-04-03,25.33,1258.21,2.0546
2026-04-06,-3.5,1254.71,-0.2779
2026-04-07,-61.23,1193.48,-4.8802
2026-04-08,-33.97,1159.51,-2.8463
2026-04-09,28.36,1187.87,2.4457
2026-04-10,-19.52,1168.35,-1.6434
2026-04-13,-32.08,1136.27,-2.7458
2026-04-14,84.73,1221.0,7.4568
2026-04-15,-26.59,1194.4,-2.1781
2026-04-16,1.21,1195.61,0.1011
2026-04-17,29.1,1224.7,2.4335
2026-04-20,-42.75,1181.95,-3.4907
2026-04-21,-7.19,1174.76,-0.6086
2026-04-22,-7.2,1167.56,-0.6131
2026-04-23,11.12,1178.68,0.9528
2026-04-24,-7.57,1171.11,-0.6421
2026-04-27,-34.29,1136.82,-2.928
2026-04-28,-18.89,1117.93,-1.6621
2026-04-29,21.92,1139.85,1.9605
2026-04-30,-17.33,1122.52,-1.52
2026-05-01,-35.89,1086.63,-3.197
2026-05-04,-24.54,1062.09,-2.2587
2026-05-05,16.45,1078.54,1.5492
2026-05-06,58.14,1136.68,5.3904
2026-05-07,25.5,1162.18,2.2435
2026-05-08,36.12,1198.3,3.1078
2026-05-11,-14.31,1183.99,-1.1942
2026-05-12,-48.78,1135.22,-4.1196
2026-05-13,21.87,1157.09,1.9266
2026-05-14,-21.89,1135.2,-1.8919
2026-05-15,17.32,1152.51,1.5255
2026-05-18,78.3,1230.82,6.7941
2026-05-19,25.99,1256.8,2.1115
2026-05-20,-23.34,1233.47,-1.857
2026-05-21,-20.84,1212.63,-1.6894
2026-05-22,-24.34,1188.29,-2.0069
2026-05-25,26.44,1214.73,2.2254
2026-05-26,-24.3,1190.43,-2.0008
2026-05-27,-11.23,1179.2,-0.9432
2026-05-28,-22.38,1156.82,-1.8977
2026-05-29,45.38,1202.2,3.9224
2026-06-01,24.01,1226.21,1.9974
2026-06-02,13.53,1239.75,1.1037
2026-06-03,31.14,1270.89,2.5118
2026-06-04,-50.36,1220.52,-3.9629
2026-06-05,121.56,1342.09,9.96
2026-06-08,-15.19,1326.89,-1.1321
2026-06-09,-9.03,1317.87,-0.6802
2026-06-10,23.98,1341.85,1.8197
2026-06-11,97.0,1438.85,7.2288
2026-06-12,53.19,1492.04,3.6968
2026-06-15,147.81,1639.85,9.9069
2026-06-16,-11.74,1628.11,-0.7159
2026-06-17,21.22,1649.33,1.3035
2026-06-18,55.3,1704.63,3.3528
2026-06-19,-15.8,1688.83,-0.9269
2026-06-22,-28.8,1660.03,-1.7053
2026-06-23,33.76,1693.79,2.0336
2026-06-24,41.45,1735.24,2.4471
2026-06-25,38.35,1773.59,2.2099
2026-06-26,28.97,1802.56,1.6334
2026-06-29,-34.3,1768.26,-1.9026
