date,pnl_usd,balance,ret_pct
2026-01-02,-17.8,982.2,-1.7802
2026-01-05,-18.83,963.37,-1.9168
2026-01-06,27.48,990.85,2.8525
2026-01-07,-24.09,966.76,-2.4313
2026-01-08,-5.5,961.26,-0.5691
2026-01-09,28.89,990.15,3.0052
2026-01-12,79.18,1069.32,7.9964
2026-01-13,-2.2,1067.12,-0.2056
2026-01-14,19.52,1086.65,1.8294
2026-01-15,-16.17,1070.47,-1.4881
2026-01-16,-28.58,1041.9,-2.6694
2026-01-19,28.78,1070.68,2.7623
2026-01-20,22.98,1093.66,2.1463
2026-01-21,-36.97,1056.69,-3.3803
2026-01-22,50.9,1107.59,4.8166
2026-01-23,65.4,1172.99,5.9045
2026-01-26,-27.08,1145.9,-2.3091
2026-01-27,-21.19,1124.72,-1.8488
2026-01-28,-20.98,1103.73,-1.8657
2026-01-29,-53.29,1050.44,-4.828
2026-01-30,3.07,1053.51,0.2922
2026-02-02,31.75,1085.27,3.0139
2026-02-03,30.56,1115.83,2.8163
2026-02-04,47.47,1163.3,4.2541
2026-02-05,32.47,1195.76,2.7908
2026-02-06,-80.99,1114.77,-6.7733
2026-02-09,74.81,1189.58,6.7105
2026-02-10,-39.1,1150.48,-3.2867
2026-02-11,-3.88,1146.6,-0.3377
2026-02-12,-29.28,1117.31,-2.5538
2026-02-13,-2.99,1114.32,-0.2676
2026-02-16,-39.26,1075.06,-3.5233
2026-02-17,-14.52,1060.55,-1.3505
2026-02-18,34.06,1094.6,3.2112
2026-02-19,-16.68,1077.92,-1.5242
2026-02-20,9.45,1087.36,0.8763
2026-02-23,-12.83,1074.53,-1.1802
2026-02-24,-40.89,1033.64,-3.8049
2026-02-25,12.09,1045.73,1.1692
2026-02-26,-23.31,1022.42,-2.2288
2026-02-27,1.16,1023.58,0.1132
2026-03-02,15.1,1038.68,1.4752
2026-03-03,48.49,1087.17,4.6686
2026-03-04,32.54,1119.71,2.9932
2026-03-05,-17.03,1102.69,-1.5205
2026-03-06,9.47,1112.16,0.8588
2026-03-09,-72.63,1039.53,-6.5305
2026-03-10,39.0,1078.53,3.7516
2026-03-11,-6.91,1071.62,-0.6408
2026-03-12,-74.88,996.73,-6.9879
2026-03-13,-13.5,983.23,-1.3546
2026-03-16,-26.15,957.09,-2.6591
2026-03-17,-14.57,942.52,-1.5223
2026-03-18,42.31,984.83,4.4889
2026-03-19,155.9,1140.72,15.8299
2026-03-20,-69.27,1071.45,-6.0724
2026-03-23,4.8,1076.25,0.4477
2026-03-24,-40.55,1035.7,-3.7681
2026-03-25,-38.31,997.38,-3.6994
2026-03-26,7.31,1004.69,0.7327
2026-03-27,4.8,1009.49,0.4778
2026-03-30,-66.67,942.82,-6.604
2026-03-31,68.43,1011.26,7.2582
2026-04-01,7.67,1018.93,0.7586
2026-04-02,-50.36,968.57,-4.9421
2026-04-03,18.66,987.23,1.9264
2026-04-06,-1.51,985.72,-0.1531
2026-04-07,-60.32,925.4,-6.1195
2026-04-08,-43.42,881.98,-4.6918
2026-04-09,38.28,920.25,4.3398
2026-04-10,-14.18,906.07,-1.5411
2026-04-13,-26.73,879.35,-2.9496
2026-04-14,100.6,979.94,11.4397
2026-04-15,-4.69,975.25,-0.4786
2026-04-16,3.64,978.89,0.3732
2026-04-17,70.47,1049.36,7.1987
2026-04-20,-82.48,966.88,-7.8599
2026-04-21,-0.71,966.17,-0.0735
2026-04-22,-1.08,965.09,-0.112
2026-04-23,20.5,985.58,2.1237
2026-04-24,-6.98,978.61,-0.7077
2026-04-27,-28.96,949.65,-2.9594
2026-04-28,-19.31,930.34,-2.033
2026-04-29,83.1,1013.44,8.9324
2026-04-30,-15.07,998.37,-1.4872
2026-05-01,-15.99,982.38,-1.6017
2026-05-04,-16.1,966.28,-1.6392
2026-05-05,42.9,1009.17,4.4393
2026-05-06,68.83,1078.0,6.8205
2026-05-07,73.97,1151.98,6.8621
2026-05-08,22.7,1174.67,1.9702
2026-05-11,-30.18,1144.49,-2.5694
2026-05-12,24.64,1169.13,2.1531
2026-05-13,-31.65,1137.49,-2.707
2026-05-14,1.34,1138.82,0.1174
2026-05-15,10.43,1149.25,0.9159
2026-05-18,87.54,1236.79,7.6169
2026-05-19,32.13,1268.92,2.5981
2026-05-20,-21.32,1247.6,-1.6801
2026-05-21,27.57,1275.17,2.2095
2026-05-22,1.49,1276.66,0.117
2026-05-25,85.4,1362.06,6.6893
2026-05-26,-38.73,1323.33,-2.8434
2026-05-27,-17.34,1305.99,-1.3103
2026-05-28,5.29,1311.28,0.4051
2026-05-29,74.06,1385.34,5.6478
2026-06-01,27.42,1412.76,1.9796
2026-06-02,10.76,1423.53,0.7617
2026-06-03,38.91,1462.44,2.7336
