date,pnl_usd,balance,ret_pct
2026-01-02,-19.3,980.7,-1.9305
2026-01-05,-40.23,940.47,-4.1019
2026-01-06,60.18,1000.65,6.399
2026-01-07,-43.62,957.03,-4.3593
2026-01-08,0.81,957.84,0.085
2026-01-09,33.4,991.25,3.4875
2026-01-12,80.58,1071.82,8.1289
2026-01-13,-17.18,1054.64,-1.6028
2026-01-14,21.17,1075.81,2.0071
2026-01-15,-24.98,1050.83,-2.3217
2026-01-16,-27.99,1022.84,-2.6638
2026-01-19,19.6,1042.44,1.9165
2026-01-20,35.98,1078.42,3.4515
2026-01-21,-53.87,1024.56,-4.9948
2026-01-22,66.16,1090.72,6.457
2026-01-23,59.02,1149.73,5.4108
2026-01-26,-32.91,1116.83,-2.8621
2026-01-27,-18.35,1098.47,-1.6434
2026-01-28,-14.7,1083.77,-1.3384
2026-01-29,-60.26,1023.51,-5.5598
2026-01-30,-4.06,1019.45,-0.397
2026-02-02,32.05,1051.5,3.1437
2026-02-03,30.56,1082.07,2.9068
2026-02-04,-28.12,1053.95,-2.5984
2026-02-05,33.82,1087.77,3.2091
2026-02-06,31.25,1119.02,2.8731
2026-02-09,207.61,1326.63,18.5526
2026-02-10,-44.88,1281.76,-3.3827
2026-02-11,-8.83,1272.93,-0.689
2026-02-12,22.66,1295.58,1.7799
2026-02-13,-1.22,1294.36,-0.0941
2026-02-16,-43.91,1250.45,-3.3927
2026-02-17,-12.15,1238.3,-0.9717
2026-02-18,48.98,1287.28,3.9558
2026-02-19,28.71,1315.99,2.2302
2026-02-20,90.33,1406.32,6.8641
2026-02-23,6.13,1412.45,0.4356
2026-02-24,-46.43,1366.02,-3.2873
2026-02-25,20.39,1386.41,1.4923
2026-02-26,-21.88,1364.52,-1.5783
2026-02-27,3.87,1368.4,0.2838
2026-03-02,27.72,1396.12,2.0257
2026-03-03,42.05,1438.17,3.0122
2026-03-04,32.24,1470.41,2.242
2026-03-05,-21.8,1448.61,-1.4825
2026-03-06,5.66,1454.27,0.3907
2026-03-09,-69.14,1385.13,-4.7544
2026-03-10,37.54,1422.67,2.7101
2026-03-11,-16.42,1406.25,-1.1542
2026-03-12,82.88,1489.13,5.8938
2026-03-13,11.8,1500.93,0.7922
2026-03-16,40.84,1541.76,2.7207
2026-03-17,11.69,1553.46,0.7585
2026-03-18,42.06,1595.51,2.7072
2026-03-19,12.02,1607.54,0.7535
2026-03-20,-75.25,1532.28,-4.6813
2026-03-23,15.35,1547.64,1.0021
2026-03-24,-40.66,1506.98,-2.6272
2026-03-25,-44.81,1462.17,-2.9733
2026-03-26,-19.68,1442.49,-1.3457
2026-03-27,49.35,1491.85,3.4214
2026-03-30,-135.75,1356.1,-9.0994
2026-03-31,48.12,1404.22,3.5486
2026-04-01,53.3,1457.52,3.796
2026-04-02,-79.45,1378.07,-5.451
2026-04-03,26.58,1404.66,1.929
2026-04-06,-4.29,1400.37,-0.3056
2026-04-07,-94.77,1305.59,-6.7678
2026-04-08,-62.38,1243.21,-4.7782
2026-04-09,45.57,1288.77,3.6651
2026-04-10,-15.84,1272.93,-1.2293
2026-04-13,-51.67,1221.26,-4.0588
2026-04-14,106.6,1327.86,8.7283
2026-04-15,-23.12,1304.74,-1.7409
2026-04-16,5.89,1310.63,0.4512
2026-04-17,59.34,1369.97,4.5277
2026-04-20,-77.02,1292.95,-5.6219
2026-04-21,18.69,1311.64,1.4456
2026-04-22,-6.57,1305.08,-0.5006
2026-04-23,53.17,1358.25,4.0742
2026-04-24,5.76,1364.01,0.424
2026-04-27,-35.14,1328.87,-2.576
2026-04-28,-33.24,1295.63,-2.5016
2026-04-29,54.2,1349.83,4.1837
2026-04-30,-34.44,1315.4,-2.5511
2026-05-01,-32.41,1282.98,-2.4642
2026-05-04,-29.48,1253.51,-2.2975
2026-05-05,17.45,1270.95,1.3919
2026-05-06,98.72,1369.67,7.7672
2026-05-07,105.56,1475.24,7.7073
2026-05-08,30.8,1506.03,2.0875
2026-05-11,-43.66,1462.37,-2.8989
2026-05-12,26.13,1488.5,1.7865
2026-05-13,-33.55,1454.95,-2.2538
2026-05-14,3.94,1458.89,0.2707
2026-05-15,-2.69,1456.2,-0.1847
2026-05-18,15.15,1471.35,1.0406
2026-05-19,41.17,1512.52,2.798
2026-05-20,41.69,1554.21,2.7564
2026-05-21,-62.64,1491.57,-4.0302
2026-05-22,-16.59,1474.98,-1.1123
2026-05-25,89.29,1564.27,6.0536
2026-05-26,-41.24,1523.03,-2.6362
2026-05-27,-16.95,1506.09,-1.1127
2026-05-28,0.76,1506.85,0.0508
2026-05-29,81.89,1588.75,5.4348
2026-06-01,30.58,1619.33,1.9249
2026-06-02,9.8,1629.12,0.6049
2026-06-03,33.78,1662.9,2.0735
2026-06-04,-62.87,1600.04,-3.7806
2026-06-05,119.5,1719.54,7.4687
2026-06-08,-6.78,1712.76,-0.3941
2026-06-09,85.82,1798.58,5.0104
2026-06-10,3.78,1802.36,0.2104
2026-06-11,-1.29,1801.07,-0.0715
2026-06-12,46.76,1847.83,2.5961
2026-06-15,163.23,2011.06,8.8337
2026-06-16,-7.4,2003.66,-0.3679
2026-06-17,35.94,2039.6,1.7937
2026-06-18,35.71,2075.31,1.7508
2026-06-19,5.9,2081.21,0.2842
2026-06-22,-48.38,2032.82,-2.3249
2026-06-23,46.83,2079.66,2.3039
2026-06-24,42.23,2121.89,2.0306
2026-06-25,22.4,2144.29,1.0557
2026-06-26,33.87,2178.16,1.5795
2026-06-29,-44.29,2133.87,-2.0335
