date,pnl_usd,balance,ret_pct
2025-10-01,57.6,1057.6,5.7603
2025-10-02,32.49,1090.09,3.0718
2025-10-03,51.47,1141.56,4.7216
2025-10-06,-25.03,1116.53,-2.1925
2025-10-07,-17.33,1099.2,-1.5524
2025-10-08,26.89,1126.09,2.4463
2025-10-09,-20.19,1105.9,-1.793
2025-10-10,54.26,1160.16,4.9068
2025-10-13,-23.76,1136.41,-2.0476
2025-10-14,2.13,1138.54,0.1878
2025-10-15,51.67,1190.21,4.5381
2025-10-16,34.58,1224.79,2.9056
2025-10-17,-28.08,1196.71,-2.2923
2025-10-20,19.56,1216.27,1.6343
2025-10-21,-31.06,1185.22,-2.5534
2025-10-22,-22.14,1163.08,-1.8678
2025-10-23,-7.43,1155.65,-0.6385
2025-10-24,28.44,1184.09,2.4607
2025-10-27,-35.43,1148.66,-2.9926
2025-10-28,13.49,1162.14,1.1743
2025-10-29,-22.74,1139.41,-1.9565
2025-10-30,6.76,1146.17,0.5935
2025-10-31,-34.07,1112.1,-2.9724
2025-11-03,13.01,1125.11,1.1694
2025-11-04,-25.35,1099.75,-2.2533
2025-11-05,-19.33,1080.43,-1.7574
2025-11-06,-18.94,1061.49,-1.7526
2025-11-07,-17.84,1043.65,-1.681
2025-11-10,7.11,1050.75,0.6808
2025-11-11,-5.67,1045.09,-0.5392
2025-11-12,70.45,1115.54,6.7412
2025-11-13,-25.08,1090.46,-2.2478
2025-11-14,-5.19,1085.27,-0.4759
2025-11-17,105.78,1191.06,9.7469
2025-11-18,-5.25,1185.81,-0.4405
2025-11-19,27.76,1213.57,2.3412
2025-11-20,-32.67,1180.9,-2.692
2025-11-21,-28.21,1152.69,-2.3891
2025-11-24,58.24,1210.93,5.0526
2025-11-25,-19.33,1191.6,-1.5967
2025-11-26,34.54,1226.13,2.8983
2025-11-27,-18.55,1207.58,-1.5132
2025-11-28,56.69,1264.27,4.6947
2025-12-01,-7.24,1257.03,-0.5729
2025-12-02,-24.59,1232.43,-1.9565
2025-12-03,-5.81,1226.63,-0.4712
2025-12-04,-12.63,1213.99,-1.03
2025-12-05,28.63,1242.62,2.3585
2025-12-08,-15.89,1226.73,-1.2791
2025-12-09,1.1,1227.83,0.0896
2025-12-10,-37.1,1190.72,-3.0219
2025-12-11,14.85,1205.58,1.2474
2025-12-12,-38.66,1166.92,-3.2068
2025-12-15,-17.49,1149.42,-1.4992
2025-12-16,-29.43,1119.99,-2.5604
2025-12-17,8.2,1128.2,0.7325
2025-12-18,-15.41,1112.78,-1.3661
2025-12-19,20.33,1133.11,1.8265
2025-12-22,-11.36,1121.75,-1.0024
2025-12-23,5.14,1126.89,0.4585
2025-12-24,11.39,1138.28,1.0104
2025-12-26,55.87,1194.15,4.9087
2025-12-29,-5.89,1188.27,-0.4929
2025-12-30,-0.04,1188.22,-0.0036
2025-12-31,39.34,1227.57,3.311
2026-01-02,-24.43,1203.14,-1.9898
2026-01-05,-35.85,1167.29,-2.9797
2026-01-06,26.05,1193.34,2.2315
2026-01-07,-23.25,1170.09,-1.9479
2026-01-08,-5.7,1164.39,-0.487
2026-01-09,31.46,1195.85,2.7018
2026-01-12,83.64,1279.5,6.9944
2026-01-13,-4.5,1274.99,-0.3518
2026-01-14,21.47,1296.46,1.6836
2026-01-15,-17.78,1278.68,-1.3712
2026-01-16,-27.06,1251.62,-2.1164
2026-01-19,25.36,1276.98,2.0258
2026-01-20,20.39,1297.36,1.5965
2026-01-21,-38.92,1258.45,-2.9997
2026-01-22,50.13,1308.58,3.9837
2026-01-23,63.77,1372.35,4.8734
2026-01-26,-27.08,1345.27,-1.9736
2026-01-27,-23.06,1322.21,-1.7141
2026-01-28,-22.15,1300.06,-1.6752
2026-01-29,-59.87,1240.19,-4.6051
2026-01-30,5.25,1245.44,0.4234
2026-02-02,32.51,1277.95,2.6106
2026-02-03,29.18,1307.13,2.2831
2026-02-04,51.6,1358.73,3.9474
2026-02-05,35.15,1393.88,2.5872
2026-02-06,-79.32,1314.56,-5.6908
2026-02-09,73.39,1387.95,5.5829
2026-02-10,-39.89,1348.06,-2.8742
2026-02-11,-2.49,1345.56,-0.1848
2026-02-12,18.76,1364.32,1.3943
2026-02-13,-8.18,1356.14,-0.5998
2026-02-16,-39.26,1316.88,-2.895
2026-02-17,-17.45,1299.43,-1.3254
2026-02-18,43.1,1342.53,3.3167
2026-02-19,11.27,1353.8,0.8396
2026-02-20,72.3,1426.1,5.3406
2026-02-23,-10.65,1415.44,-0.747
2026-02-24,-39.95,1375.5,-2.8224
2026-02-25,12.06,1387.55,0.8767
2026-02-26,-30.74,1356.81,-2.2157
2026-02-27,2.48,1359.3,0.1831
2026-03-02,28.86,1388.16,2.1234
2026-03-03,51.29,1439.44,3.6946
2026-03-04,29.01,1468.45,2.0151
2026-03-05,-17.16,1451.29,-1.1687
2026-03-06,-27.02,1424.27,-1.8621
2026-03-09,-31.47,1392.8,-2.2095
2026-03-10,39.9,1432.7,2.865
2026-03-11,-47.65,1385.05,-3.3258
2026-03-12,-38.78,1346.27,-2.7998
2026-03-13,-7.28,1338.99,-0.5411
2026-03-16,-29.08,1309.91,-2.1714
2026-03-17,-8.24,1301.67,-0.6292
2026-03-18,47.33,1349.0,3.6357
2026-03-19,160.75,1509.75,11.9165
2026-03-20,-69.27,1440.48,-4.5881
2026-03-23,16.71,1457.19,1.1601
2026-03-24,-43.45,1413.74,-2.9818
2026-03-25,-38.37,1375.37,-2.7141
2026-03-26,6.06,1381.43,0.4408
2026-03-27,7.24,1388.68,0.5244
2026-03-30,-66.67,1322.01,-4.8007
2026-03-31,65.88,1387.89,4.983
2026-04-01,11.43,1399.32,0.8237
2026-04-02,-51.78,1347.54,-3.7005
2026-04-03,23.29,1370.83,1.7284
2026-04-06,0.76,1371.59,0.0553
2026-04-07,-60.15,1311.43,-4.3856
2026-04-08,-62.55,1248.88,-4.7699
2026-04-09,45.57,1294.44,3.6485
2026-04-10,-20.82,1273.63,-1.6083
2026-04-13,-51.67,1221.96,-4.0565
2026-04-14,107.64,1329.6,8.8089
2026-04-15,6.79,1336.39,0.5108
2026-04-16,-10.61,1325.79,-0.7938
2026-04-17,106.94,1432.73,8.0663
2026-04-20,-79.17,1353.56,-5.5258
2026-04-21,-6.02,1347.54,-0.4445
2026-04-22,-6.61,1340.93,-0.4903
2026-04-23,51.33,1392.26,3.8277
2026-04-24,-8.97,1383.29,-0.6444
2026-04-27,-30.1,1353.19,-2.1757
2026-04-28,-34.3,1318.89,-2.5348
2026-04-29,93.05,1411.95,7.0555
2026-04-30,22.77,1434.72,1.6126
2026-05-01,-47.18,1387.53,-3.2887
2026-05-04,-33.2,1354.34,-2.3925
2026-05-05,45.9,1400.24,3.3894
2026-05-06,71.2,1471.44,5.0851
2026-05-07,83.02,1554.46,5.6418
2026-05-08,20.78,1575.24,1.3367
2026-05-11,-32.48,1542.75,-2.0621
2026-05-12,26.13,1568.88,1.6934
2026-05-13,-31.58,1537.3,-2.0131
2026-05-14,7.52,1544.82,0.4892
2026-05-15,5.14,1549.96,0.3328
2026-05-18,23.43,1573.39,1.5118
2026-05-19,56.41,1629.8,3.5854
2026-05-20,36.73,1666.54,2.2539
2026-05-21,-25.11,1641.43,-1.5065
2026-05-22,12.56,1653.99,0.7651
2026-05-25,62.68,1716.67,3.7896
2026-05-26,-9.57,1707.1,-0.5577
2026-05-27,-41.92,1665.18,-2.4555
2026-05-28,16.4,1681.58,0.9849
2026-05-29,145.03,1826.61,8.6247
2026-06-01,38.18,1864.79,2.0903
2026-06-02,23.82,1888.61,1.2771
2026-06-03,36.5,1925.1,1.9325
2026-06-04,-40.12,1884.99,-2.084
2026-06-05,145.02,2030.0,7.6934
2026-06-08,1.58,2031.59,0.078
2026-06-09,24.4,2055.98,1.2009
