date,pnl_usd,balance,ret_pct
2026-01-02,18.58,1018.58,1.8577
2026-01-05,-15.38,1003.19,-1.5104
2026-01-06,61.78,1064.97,6.1579
2026-01-07,15.39,1080.36,1.4449
2026-01-08,4.12,1084.48,0.3814
2026-01-09,45.11,1129.58,4.1593
2026-01-12,17.21,1146.79,1.5233
2026-01-13,-20.73,1126.05,-1.8081
2026-01-14,-17.91,1108.15,-1.5901
2026-01-15,-23.92,1084.23,-2.1585
2026-01-16,-4.81,1079.42,-0.4435
2026-01-19,0.93,1080.35,0.0857
2026-01-20,-16.67,1063.68,-1.543
2026-01-21,56.56,1120.23,5.3172
2026-01-22,0.18,1120.41,0.0157
2026-01-23,-0.07,1120.34,-0.0062
2026-01-26,-32.91,1087.44,-2.9371
2026-01-27,-7.85,1079.58,-0.7222
2026-01-28,-8.7,1070.89,-0.8055
2026-01-29,-17.79,1053.1,-1.6609
2026-01-30,-5.79,1047.31,-0.5496
2026-02-02,32.05,1079.36,3.0601
2026-02-03,30.56,1109.92,2.8317
2026-02-04,44.46,1154.39,4.0059
2026-02-05,44.08,1198.47,3.8189
2026-02-06,37.68,1236.15,3.1442
2026-02-09,-6.71,1229.44,-0.5429
2026-02-10,-19.75,1209.69,-1.6065
2026-02-11,4.52,1214.22,0.374
2026-02-12,43.18,1257.4,3.5565
2026-02-13,-1.4,1256.0,-0.1116
2026-02-16,20.36,1276.36,1.6214
2026-02-17,-11.07,1265.29,-0.8674
2026-02-18,51.5,1316.79,4.0706
2026-02-19,29.6,1346.39,2.2478
2026-02-20,19.95,1366.34,1.4819
2026-02-23,-45.94,1320.4,-3.3623
2026-02-24,27.66,1348.07,2.0951
2026-02-25,20.43,1368.5,1.5157
2026-02-26,37.9,1406.4,2.7694
2026-02-27,-0.94,1405.46,-0.067
2026-03-02,27.72,1433.18,1.9723
2026-03-03,42.05,1475.23,2.9343
2026-03-04,30.39,1505.62,2.0603
2026-03-05,-44.06,1461.56,-2.9266
2026-03-06,5.66,1467.22,0.3872
2026-03-09,-30.86,1436.36,-2.1035
2026-03-10,37.54,1473.9,2.6134
2026-03-11,-16.42,1457.47,-1.1141
2026-03-12,52.54,1510.02,3.605
2026-03-13,-3.7,1506.32,-0.2449
2026-03-16,40.84,1547.16,2.7109
2026-03-17,11.69,1558.85,0.7559
2026-03-18,42.06,1600.91,2.6979
2026-03-19,-5.49,1595.42,-0.3427
2026-03-20,15.67,1611.09,0.9822
2026-03-23,27.83,1638.92,1.7274
2026-03-24,-40.66,1598.26,-2.4809
2026-03-25,-4.97,1593.28,-0.3112
2026-03-26,-46.26,1547.02,-2.9037
2026-03-27,54.29,1601.31,3.5096
2026-03-30,-72.96,1528.35,-4.5563
2026-03-31,-17.35,1511.0,-1.1351
2026-04-01,51.77,1562.77,3.4259
2026-04-02,-33.92,1528.85,-2.1703
2026-04-03,29.15,1558.01,1.9069
2026-04-06,-5.52,1552.48,-0.3545
2026-04-07,-75.26,1477.22,-4.8476
2026-04-08,-24.77,1452.46,-1.6767
2026-04-09,-26.77,1425.69,-1.8429
2026-04-10,-11.37,1414.32,-0.7976
2026-04-13,-31.47,1382.85,-2.2248
2026-04-14,77.29,1460.14,5.5892
2026-04-15,25.69,1485.83,1.7592
2026-04-16,24.21,1510.03,1.6291
2026-04-17,61.18,1571.22,4.0518
2026-04-20,-27.65,1543.57,-1.76
2026-04-21,16.45,1560.02,1.0659
2026-04-22,-5.93,1554.09,-0.3801
2026-04-23,53.31,1607.4,3.4303
2026-04-24,5.31,1612.71,0.3305
2026-04-27,20.94,1633.65,1.2986
2026-04-28,-35.19,1598.46,-2.1544
2026-04-29,56.17,1654.63,3.5138
2026-04-30,25.35,1679.97,1.5319
2026-05-01,-16.43,1663.54,-0.9783
2026-05-04,-27.43,1636.11,-1.6488
2026-05-05,14.76,1650.87,0.9022
2026-05-06,90.68,1741.55,5.4926
2026-05-07,26.69,1768.23,1.5323
2026-05-08,30.8,1799.04,1.7421
2026-05-11,-13.41,1785.63,-0.7454
2026-05-12,35.99,1821.62,2.0156
2026-05-13,-36.64,1784.98,-2.0115
2026-05-14,4.02,1789.0,0.2254
2026-05-15,0.78,1789.78,0.0435
2026-05-18,15.65,1805.43,0.8747
2026-05-19,45.21,1850.64,2.504
2026-05-20,46.23,1896.87,2.4981
2026-05-21,-14.34,1882.53,-0.756
2026-05-22,-13.72,1868.81,-0.729
2026-05-25,96.12,1964.93,5.1434
2026-05-26,-31.01,1933.91,-1.5784
2026-05-27,-15.11,1918.8,-0.7813
2026-05-28,21.72,1940.53,1.1322
2026-05-29,32.13,1972.66,1.6557
2026-06-01,61.85,2034.51,3.1353
2026-06-02,48.29,2082.79,2.3734
2026-06-03,30.79,2113.59,1.4784
2026-06-04,1.58,2115.17,0.0747
2026-06-05,90.78,2205.95,4.292
2026-06-08,-11.85,2194.1,-0.5371
2026-06-09,25.12,2219.22,1.1447
2026-06-10,2.84,2222.06,0.1278
2026-06-11,-2.71,2219.34,-0.122
2026-06-12,48.03,2267.37,2.1641
2026-06-15,79.82,2347.19,3.5204
2026-06-16,10.06,2357.25,0.4284
2026-06-17,78.57,2435.82,3.3333
2026-06-18,56.31,2492.14,2.3119
2026-06-19,8.26,2500.4,0.3315
2026-06-22,-48.59,2451.81,-1.9433
2026-06-23,51.13,2502.93,2.0853
2026-06-24,43.43,2546.36,1.735
2026-06-25,25.05,2571.41,0.9839
2026-06-26,49.5,2620.91,1.925
2026-06-29,-21.7,2599.21,-0.8281
