score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
184,65;383;0,4569;408,3;0,0249;2,237;;180;15;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,2;8;13;2;24
184,55;389;0,4602;414,3;0,0302;2,205;;180;14;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;13;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
184,34;411;0,455;481,43;0,0307;2,099;;180;15;6;-25;-85;-70;-30;-95;-40;16;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
183,74;389;0,4602;413,1;0,0304;2,201;;180;14;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
179,71;388;0,4613;461,85;0,0243;2,29;;190;15;6;-25;-85;-70;-30;-95;-40;17;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
178,19;316;0,4684;388,46;0,0195;2,535;;160;16;6;-25;-95;-70;-30;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
176,35;513;0,4347;502,54;0,0267;1,968;;210;14;6;-25;-85;-70;-35;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,5;2,8;8;13;2;24
175,91;380;0,45;406,14;0,0272;2,325;;160;16;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
175,91;380;0,45;406,14;0,0272;2,325;;160;16;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
175,45;413;0,4528;468,91;0,0302;2,069;;180;15;6;-25;-85;-70;-30;-95;-40;17;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
173,23;151;0,543;255,68;0,012;3,467;;210;19;7;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
173,14;171;0,5263;259,92;0,0206;3,146;;220;21;6;-30;-95;-70;-35;-95;-45;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,6000000000000001;3,2;9;12;2;19
173,12;422;0,4408;445,99;0,0243;2,182;;210;16;6;-25;-85;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;8;12;2;24
170,77;1034;0,4226;643,76;0,044;1,611;;200;19;5;-25;-90;-60;-30;-95;-35;18;2,0;2,0;0,5;8;12;4;0,15000000000000002;0,4;3,0;5;13;2;24
169,2;329;0,465;389,36;0,0188;2,408;;160;15;6;-25;-95;-70;-30;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
166,59;362;0,4503;380,87;0,0194;2,392;;190;16;6;-25;-85;-70;-35;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,5;3,0;9;13;2;24
165,13;299;0,4749;366,29;0,0243;2,445;;190;16;7;-25;-85;-70;-30;-95;-40;17;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
165,13;299;0,4749;366,29;0,0243;2,445;;190;16;7;-25;-85;-70;-30;-95;-40;17;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
165,11;222;0,491;297,32;0,0173;2,843;;220;18;6;-25;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;18
165,11;222;0,491;297,32;0,0173;2,843;;220;18;6;-25;-95;-70;-35;-95;-40;15;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;9;12;2;18
163,81;158;0,557;250,72;0,0117;3,277;;220;18;6;-30;-95;-70;-35;-95;-40;16;2,0;2,0;0,5;20;15;4;0,15000000000000002;0,5;3,2;10;12;2;19
163,19;251;0,502;320,22;0,0185;2,628;;190;16;8;-25;-90;-70;-30;-95;-40;17;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
160,05;431;0,4339;400,87;0,0245;2,067;;170;15;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
160,05;431;0,4339;400,87;0,0245;2,067;;170;15;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
160,05;431;0,4339;400,87;0,0245;2,067;;170;15;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
159,1;431;0,4339;399,34;0,0246;2,063;;170;15;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;15;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
158,33;434;0,4309;404,7;0,0304;2,028;;170;14;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;13;4;0,15000000000000002;0,4;3,8;8;13;2;24
158,33;434;0,4309;404,7;0,0304;2,028;;170;14;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;13;4;0,15000000000000002;0,4;3,8;8;13;2;24
155,79;412;0,432;388,87;0,0271;2,105;;170;16;5;-25;-95;-70;-30;-95;-40;14;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
155,79;412;0,432;388,87;0,0271;2,105;;170;16;5;-25;-95;-70;-30;-95;-40;14;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
155,79;412;0,432;388,87;0,0271;2,105;;170;16;5;-25;-95;-70;-30;-95;-40;14;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
155,79;412;0,432;388,87;0,0271;2,105;;170;16;5;-25;-95;-70;-30;-95;-40;14;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
155,79;412;0,432;388,87;0,0271;2,105;;170;16;5;-25;-95;-70;-30;-95;-40;14;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
154,01;324;0,4691;358,64;0,0193;2,357;;160;15;6;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,6000000000000005;8;13;2;24
154,01;324;0,4691;358,64;0,0193;2,357;;160;15;6;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
154,01;324;0,4691;358,64;0,0193;2,357;;160;15;6;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;14;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
152,55;389;0,4447;390,79;0,0232;2,174;;160;15;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;15;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
152,55;389;0,4447;390,79;0,0232;2,174;;160;15;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;15;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
150,93;430;0,4326;413,74;0,0286;2,016;;210;17;6;-25;-85;-70;-35;-95;-40;15;2,0;2,0;0,5;20;13;4;0,15000000000000002;0,5;2,8;8;13;2;24
150,7;500;0,472;382,35;0,0604;1,8;;200;21;6;-25;-90;-65;-30;-95;-40;18;2,0;2,0;0,5;8;12;4;0,15000000000000002;0,4;3,6000000000000005;7;13;2;24
148,98;390;0,4256;412,89;0,0234;2,088;;180;14;6;-25;-85;-70;-30;-95;-40;16;2,0;2,0;0,5;18;14;4;0,15000000000000002;0,30000000000000004;4,0;8;12;2;24
148,98;292;0,4658;331,7;0,0283;2,354;;190;17;7;-25;-90;-70;-30;-95;-40;17;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,4;4,0;8;13;2;24
148,42;768;0,4245;533,97;0,034;1,68;;200;19;6;-25;-90;-65;-30;-95;-40;18;2,0;2,0;0,5;8;12;4;0,15000000000000002;0,4;3,6000000000000005;5;13;2;24
145,55;404;0,4257;390,98;0,0225;2,067;;200;16;6;-25;-85;-70;-35;-95;-40;15;2,0;2,0;0,5;20;14;4;0,15000000000000002;0,5;3,2;9;13;2;24
145,45;376;0,4149;346,52;0,0358;2,16;;140;16;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;15;4;0,15000000000000002;0,4;3,4000000000000004;8;13;2;24
142,36;296;0,4392;326,47;0,0208;2,291;;180;16;6;-25;-85;-70;-30;-95;-40;16;2,0;2,0;0,5;18;14;4;0,15000000000000002;0,4;4,0;9;12;2;24
135,83;610;0,4361;454,76;0,0606;1,754;;200;17;6;-25;-90;-65;-30;-95;-40;17;2,0;2,0;0,5;8;13;4;0,15000000000000002;0,4;3,8;7;13;2;24
135,61;638;0,4404;472,15;0,0369;1,709;;200;18;6;-25;-90;-65;-30;-95;-40;18;2,0;2,0;0,5;8;12;4;0,15000000000000002;0,4;3,6000000000000005;6;13;2;24
133,86;448;0,4174;370,69;0,0336;1,902;;170;13;5;-25;-95;-70;-30;-95;-40;15;2,25;2,0;0,5;20;15;4;0,15000000000000002;0,4;3,2;8;13;2;24
