score,trades,win_rate,total_pnl,max_drawdown,profit_factor,note,sma_period,wpr_m15_period,wpr_m1_period,wpr_m15_sell_extreme,wpr_m15_buy_extreme,wpr_m15_trigger,wpr_m1_sell_extreme,wpr_m1_buy_extreme,wpr_m1_trigger,atr_period,sl_atr_mult,tp_rr_ratio,breakeven_pct,trail_activation_pips,trail_distance_pips,max_open_slots,max_spread_atr_ratio,atr_min_pct,atr_max_pct,trade_hour_start,trade_hour_end,skip_monday_hours,skip_friday_hour
-2.69,297,0.2189,-22.64,0.1671,0.941,,70,16,9,-5,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.6,4,22,0,22
-2.7,145,0.2414,-31.01,0.0627,0.865,,50,16,4,-5,-80,-65,-20,-75,-65,16,2.25,2.75,0.4,8,12,5,0.15000000000000002,0.8,1.2,5,23,3,22
-3.05,303,0.2871,-13.08,0.0983,0.97,,70,16,6,-5,-75,-60,-15,-80,-35,18,1.5,2.25,0.4,10,7,3,0.1,0.8,1.4,6,21,3,23
-3.06,417,0.2038,-29.61,0.1521,0.935,,70,17,8,-5,-80,-70,-15,-65,-35,13,1.25,2.5,0.4,8,13,2,0.05,0.7,1.4,5,23,0,22
-3.16,13,0.2308,-12.62,0.0196,0.412,,70,45,5,-5,-80,-45,-25,-75,-50,11,3.0,1.5,0.6000000000000001,14,13,8,0.25,0.9000000000000001,2.8,1,23,2,22
-3.23,590,0.2627,-2.75,0.0858,0.997,,100,31,5,-25,-70,-65,-10,-95,-45,12,1.25,3.0,0.6000000000000001,4,14,5,0.3,0.6000000000000001,3.0,9,24,4,21
-3.58,336,0.4077,-33.09,0.1269,0.917,,70,22,17,-25,-75,-65,-15,-80,-30,15,1.75,2.5,0.4,6,6,2,0.05,0.7,1.4,3,21,3,22
-3.81,198,0.4091,-11.06,0.0582,0.961,,130,38,18,-10,-80,-70,-15,-80,-40,10,3.0,2.0,0.7,20,14,8,0.35,0.7,2.4000000000000004,3,21,1,23
-3.92,618,0.2314,-26.96,0.1743,0.966,,50,20,6,-35,-85,-70,-15,-65,-35,13,1.25,2.5,0.4,8,14,2,0.05,0.7,1.6,5,24,2,22
-4.08,444,0.4032,-13.77,0.085,0.975,,90,17,4,-5,-75,-70,-15,-80,-35,14,2.0,2.5,0.4,8,5,2,0.1,0.9000000000000001,1.6,3,22,3,22
-4.29,320,0.3969,-18.65,0.0729,0.958,,80,14,4,-5,-75,-60,-15,-85,-30,19,1.5,2.25,0.4,4,4,2,0.05,0.8,1.2,5,20,3,22
