score;trades;win_rate;total_pnl;max_drawdown;profit_factor;note;sma_period;wpr_m15_period;wpr_m1_period;wpr_m15_sell_extreme;wpr_m15_buy_extreme;wpr_m15_trigger;wpr_m1_sell_extreme;wpr_m1_buy_extreme;wpr_m1_trigger;atr_period;sl_atr_mult;tp_rr_ratio;breakeven_pct;trail_activation_pips;trail_distance_pips;max_open_slots;max_spread_atr_ratio;atr_min_pct;atr_max_pct;trade_hour_start;trade_hour_end;skip_monday_hours;skip_friday_hour
3079,3;223;0,7982;2911,13;0,05;4,733;;100;27;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;4,0;1;12;2;24
3079,3;223;0,7982;2911,13;0,05;4,733;;100;27;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;4,0;1;12;2;24
3079,3;223;0,7982;2911,13;0,05;4,733;;100;26;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;4,0;1;12;2;24
3077,23;273;0,7619;3437,36;0,0779;4,06;;100;28;20;-15;-90;-30;-35;-65;-55;14;3,0;2,25;0,4;16;4;7;0,25;0,2;3,8;3;12;2;19
3076,23;223;0,7982;2909,51;0,05;4,731;;100;27;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;7;8;0,25;0,2;3,8;1;12;2;24
3076,23;223;0,7982;2909,51;0,05;4,731;;100;27;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;7;8;0,25;0,2;3,8;1;12;2;24
3070,6;225;0,8;2904,4;0,0496;4,725;;100;26;18;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;0;12;2;24
3070,6;225;0,8;2904,4;0,0496;4,725;;100;26;18;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
3068,8;232;0,7931;2962,79;0,0446;4,667;;100;25;16;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;3;12;2;24
3067,49;225;0,8;2902,76;0,0496;4,722;;100;26;18;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,35;0,2;2,0;1;12;2;24
3059,04;222;0,7973;2901,69;0,0503;4,721;;100;24;20;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;4,0;2;12;2;24
3042,59;224;0,7991;2890,95;0,05;4,707;;100;24;18;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
3033,63;223;0,7982;2866,24;0,0478;4,736;;100;28;17;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;18;4;8;0,25;0,2;4,0;1;12;2;24
3020,68;223;0,7982;2859,5;0,048;4,727;;100;25;18;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;18;6;8;0,25;0,2;3,8;1;12;2;24
3016,26;197;0,7919;2874,6;0,0698;5,437;;90;29;20;-10;-90;-35;-35;-65;-55;14;3,0;2,5;0,4;16;7;8;0,25;0,2;3,8;2;13;2;24
2995,74;226;0,7965;2903,14;0,0458;4,719;;100;25;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;4;8;0,25;0,2;1,8;0;12;2;24
2995,74;226;0,7965;2903,14;0,0458;4,719;;100;26;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;4;8;0,25;0,2;1,8;0;12;2;24
2990,79;226;0,7965;2899,86;0,0458;4,714;;100;26;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2990,79;226;0,7965;2899,86;0,0458;4,714;;100;26;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2990,79;226;0,7965;2899,86;0,0458;4,714;;100;27;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2990,79;226;0,7965;2899,86;0,0458;4,714;;100;26;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2990,79;226;0,7965;2899,86;0,0458;4,714;;100;26;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2973,9;225;0,7956;2886,42;0,0462;4,697;;100;24;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2973,9;225;0,7956;2886,42;0,0462;4,697;;100;24;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2973,9;225;0,7956;2886,42;0,0462;4,697;;100;24;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2973,9;225;0,7956;2886,42;0,0462;4,697;;100;24;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2971,44;225;0,7956;2884,79;0,0462;4,695;;100;24;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;7;8;0,25;0,2;2,0;0;12;2;24
2962,24;214;0,785;2826,37;0,0488;4,774;;90;24;16;-10;-90;-35;-35;-65;-55;16;3,0;2,5;0,4;18;5;8;0,25;0,2;4,0;2;12;2;24
2960,16;269;0,7546;3249,46;0,054;4,118;;100;28;20;-15;-90;-40;-35;-65;-55;16;3,0;2,25;0,4;14;4;7;0,3;0,2;3,4000000000000004;2;12;2;18
2958,56;222;0,8018;2819,22;0,0503;4,741;;100;27;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;1;12;2;24
2958,56;222;0,8018;2819,22;0,0503;4,741;;100;26;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;1;12;2;24
2958,56;222;0,8018;2819,22;0,0503;4,741;;100;26;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;1;12;2;24
2958,56;222;0,8018;2819,22;0,0503;4,741;;100;27;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;1;12;2;24
2943,54;248;0,7661;3162,86;0,0557;4,221;;100;24;20;-10;-90;-30;-35;-65;-55;15;3,0;2,25;0,4;16;7;5;0,25;0,2;3,8;1;12;2;24
2942,63;248;0,7661;3162,1;0,0557;4,22;;100;27;19;-10;-90;-30;-35;-65;-55;15;3,0;2,25;0,4;16;5;8;0,25;0,2;4,0;1;12;2;24
2902,36;223;0,7937;2842,53;0,0466;4,641;;100;28;17;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;4;8;0,25;0,6000000000000001;1,6;0;12;2;24
2900,3;241;0,7884;2937,16;0,074;4,436;;90;27;18;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;1;12;2;24
2897,24;220;0,7909;2791,53;0,048;4,636;;90;26;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;4;8;0,25;0,2;1,8;0;12;2;24
2896,94;236;0,7754;2887,19;0,0548;4,553;;100;26;20;-15;-90;-35;-30;-65;-55;15;2,75;2,25;0,4;16;4;7;0,1;0,2;2,6;2;12;2;18
2864,21;172;0,8663;2457,87;0,0454;8,473;;90;26;20;-10;-90;-40;-35;-65;-60;15;3,0;2,25;0,4;18;6;8;0,25;0,2;4,0;4;13;2;24
2864,21;172;0,8663;2457,87;0,0454;8,473;;90;26;20;-10;-90;-40;-35;-65;-60;15;3,0;2,25;0,4;18;6;8;0,25;0,2;4,0;4;13;2;24
2861,08;254;0,7638;3091,46;0,0625;4,233;;90;27;18;-10;-90;-30;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,4;1;12;2;24
2843,87;206;0,7864;2734,75;0,0656;4,887;;90;29;20;-15;-90;-35;-25;-65;-55;15;3,0;2,25;0,4;14;5;7;0,25;0,2;3,6000000000000005;2;12;2;24
2843,35;251;0,7729;3085,92;0,0968;4,119;;100;24;18;-15;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2825,01;180;0,85;2445,03;0,0454;7,136;;90;27;20;-10;-90;-40;-35;-65;-60;15;3,0;2,25;0,4;18;6;8;0,25;0,2;4,0;4;13;2;24
2822,5;222;0,7928;2787,55;0,047;4,571;;100;25;17;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;4;8;0,25;0,2;1,8;0;12;2;24
2811,11;253;0,7549;3142,82;0,0546;4,072;;90;27;18;-10;-90;-30;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,6;1;12;2;24
2800,92;221;0,7919;2770,91;0,0474;4,549;;100;24;17;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2799,28;217;0,7926;2704,57;0,0421;4,689;;100;28;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;14;4;7;0,25;0,5;1,4;2;12;2;18
2798,58;221;0,7919;2769,32;0,0474;4,547;;100;24;17;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;7;8;0,25;0,2;2,2;0;12;2;24
2778,75;171;0,7953;2484,69;0,0465;6,085;;80;28;20;-10;-90;-30;-35;-65;-55;15;3,0;2,25;0,4;16;7;8;0,25;0,2;3,8;1;13;2;24
2769,62;297;0,697;3676,8;0,0775;3,518;;100;27;20;-20;-90;-30;-35;-65;-55;16;3,0;2,5;0,4;14;4;7;0,25;0,2;2,8;3;12;2;19
2766,78;222;0,7928;2721,99;0,0522;4,545;;90;27;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,6;1;12;2;24
2764,34;238;0,7857;2850,05;0,074;4,334;;90;28;18;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;5;8;0,25;0,2;3,0;3;12;2;24
2721,11;221;0,7783;2615,36;0,0415;4,71;;100;30;20;-10;-90;-35;-35;-65;-55;15;2,5;2,25;0,4;16;5;8;0,25;0,2;4,0;2;12;2;24
2712,05;219;0,79;2696,03;0,0495;4,453;;100;28;17;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,8;0;12;2;24
2712,05;219;0,79;2696,03;0,0495;4,453;;100;28;17;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;2;0,25;0,2;1,8;0;12;2;24
2683,92;212;0,7877;2682,19;0,0512;4,496;;100;23;17;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;16;3;8;0,25;0,2;3,8;1;12;2;24
2680,36;239;0,7824;2827,12;0,0764;4,222;;90;27;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;3;5;0,3;0,2;3,0;3;12;2;18
2678,55;212;0,7877;2679,17;0,0513;4,492;;100;23;17;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
2677,97;239;0,7824;2825,41;0,0765;4,22;;90;29;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;4;7;0,25;0,2;3,8;2;12;2;18
2675,53;247;0,7611;2971,34;0,0587;4,063;;90;27;19;-10;-90;-30;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,6;1;12;2;24
2675,53;247;0,7611;2971,34;0,0587;4,063;;90;27;19;-10;-90;-30;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,6;1;12;2;24
2675,53;247;0,7611;2971,34;0,0587;4,063;;90;27;19;-10;-90;-30;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,6;1;12;2;24
2675,53;247;0,7611;2971,34;0,0587;4,063;;90;27;19;-10;-90;-30;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,6;1;12;2;24
2674,63;225;0,7867;2719,04;0,1354;4,611;;90;27;20;-15;-90;-35;-35;-80;-55;14;3,0;2,25;0,4;14;4;7;0,25;0,2;3,6000000000000005;2;13;2;18
2668,44;239;0,7824;2818,57;0,0766;4,212;;90;27;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;8;7;0,05;0,2;3,2;2;12;2;18
2660,64;221;0,7964;2686,4;0,0842;4,784;;90;28;20;-15;-90;-35;-35;-90;-55;15;3,0;2,25;0,4;14;4;7;0,25;0,2;3,4000000000000004;3;13;2;19
2654,51;211;0,7867;2726,96;0,0528;4,385;;100;25;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;2;12;2;24
2654,51;211;0,7867;2726,96;0,0528;4,385;;100;25;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
2654,51;211;0,7867;2726,96;0,0528;4,385;;100;25;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
2654,51;211;0,7867;2726,96;0,0528;4,385;;100;25;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;2;12;2;24
2654,51;211;0,7867;2726,96;0,0528;4,385;;100;25;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
2654,51;211;0,7867;2726,96;0,0528;4,385;;100;25;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
2654,51;211;0,7867;2726,96;0,0528;4,385;;100;25;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
2654,51;211;0,7867;2726,96;0,0528;4,385;;100;25;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
2654,51;211;0,7867;2726,96;0,0528;4,385;;100;25;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;0;12;2;24
2644,92;213;0,7887;2718,72;0,0524;4,374;;100;25;18;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;0;12;2;24
2644,92;213;0,7887;2718,72;0,0524;4,374;;100;25;18;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;0;12;2;24
2644,92;213;0,7887;2718,72;0,0524;4,374;;100;25;18;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;0;12;2;24
2644,92;213;0,7887;2718,72;0,0524;4,374;;100;25;18;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;0;12;2;24
2644,92;213;0,7887;2718,72;0,0524;4,374;;100;25;18;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;0;12;2;24
2644,92;213;0,7887;2718,72;0,0524;4,374;;100;25;18;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
2644,92;213;0,7887;2718,72;0,0524;4,374;;100;25;18;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;0;12;2;24
2620,78;210;0,7857;2709,02;0,0533;4,362;;100;24;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;6;8;0,25;0,2;4,0;2;12;2;24
2620,78;210;0,7857;2709,02;0,0533;4,362;;100;24;19;-10;-90;-35;-35;-65;-55;14;3,0;2,25;0,4;18;6;8;0,25;0,2;4,0;2;12;2;24
2608,17;210;0,8;2572,75;0,0787;5,007;;90;28;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;5;8;0,25;0,2;2,6;2;13;2;24
2606,64;188;0,8351;2334,29;0,0443;6,195;;90;27;20;-10;-90;-40;-35;-65;-60;17;3,0;2,25;0,4;16;6;8;0,25;0,2;4,0;4;13;2;24
2605,69;210;0,8;2571,23;0,0787;5,005;;90;28;19;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;6;8;0,25;0,2;3,8;1;13;2;24
2596,72;212;0,783;2650,7;0,0515;4,395;;100;23;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;2,0;0;12;2;24
2594,12;212;0,783;2649,2;0,0515;4,393;;100;23;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;7;8;0,25;0,2;1,8;0;12;2;24
2594,12;212;0,783;2649,2;0,0515;4,393;;100;23;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;7;8;0,25;0,2;1,8;0;12;2;24
2570,97;223;0,7892;2667,97;0,0478;4,539;;90;26;18;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,4;1;12;2;24
2568,78;221;0,7919;2571,74;0,0503;4,452;;90;28;16;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;18;5;8;0,35;0,2;2,0;2;12;2;24
2568,78;221;0,7919;2571,74;0,0503;4,452;;90;26;16;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;18;5;8;0,25;0,2;3,8;1;12;2;24
2568,78;221;0,7919;2571,74;0,0503;4,452;;90;25;16;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;1;12;2;24
2568,06;261;0,7931;2800,95;0,0757;4,094;;100;30;20;-15;-90;-35;-35;-65;-55;15;3,0;2,25;0,3;16;5;7;0,25;0,2;3,8;1;12;2;24
2544,9;227;0,7753;2725,63;0,0497;4,166;;100;24;16;-10;-90;-35;-35;-65;-50;15;3,0;2,25;0,4;18;6;8;0,25;0,2;1,6;0;12;2;24
2544,42;220;0,7909;2558,29;0,0507;4,434;;90;24;16;-10;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;18;5;8;0,25;0,2;4,0;3;12;2;24
2520,28;224;0,7857;2629,85;0,0526;4,309;;90;27;16;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;18;5;8;0,3;0,2;2,0;1;12;2;24
2502,18;235;0,783;2685,69;0,0638;4,444;;90;26;20;-15;-90;-35;-35;-65;-55;16;3,0;2,25;0,4;16;4;7;0,25;0,2;3,6000000000000005;2;13;2;18
2486,68;246;0,7764;2796,15;0,0866;4,226;;90;27;6;-10;-90;-35;-35;-65;-55;15;3,0;2,25;0,4;16;5;8;0,25;0,2;3,8;1;13;2;24
2486,51;243;0,7572;2864,09;0,0592;3,953;;90;26;18;-10;-90;-30;-35;-65;-55;15;3,0;2,25;0,4;18;6;8;0,25;0,2;2,0;1;12;2;24
2471,09;226;0,7611;2694,13;0,0819;4,544;;100;26;20;-15;-90;-60;-35;-65;-55;17;3,0;2,25;0,4;16;4;7;0,25;0,2;3,2;2;12;2;21
